"GENE","FC","log2(FC)","raw.pval","-log10(p)"
"Q9EST5",0.87934,-0.1855,0.75796,0.12035
"A0A1C7CYU3",0.93208,-0.10148,0.76068,0.1188
"P60843",1.1192,0.16244,0.76158,0.11829
"A0A7N9VR94",1.0443,0.062511,0.76179,0.11817
"Q3THG0",1.0282,0.040068,0.76328,0.11732
"Q9DBP5",1.0343,0.048691,0.76493,0.11638
"Q8BHN3",1.0512,0.072088,0.76679,0.11532
"I7HLV2",1.0334,0.047382,0.76769,0.11482
"Q3V2C6",0.98804,-0.017355,0.76904,0.11405
"A0A2I3BPG9",1.0725,0.10101,0.77022,0.11338
"P14733",0.98484,-0.022045,0.7727,0.11199
"Q9DCM0",0.93117,-0.10289,0.77371,0.11142
"Q8BVU9",1.0333,0.047325,0.77964,0.10811
"H3BKG0",1.0537,0.075401,0.78026,0.10776
"G3UYV7",0.97576,-0.035402,0.78081,0.10745
"Q3TMM5",0.8993,-0.15313,0.78208,0.10675
"P07901",1.0681,0.09507,0.78266,0.10643
"Q3TQW3",0.94129,-0.087282,0.78287,0.10631
"P97351",1.0662,0.092541,0.78962,0.10258
"P97315",1.1165,0.15897,0.78965,0.10257
"Q9CQM9",0.94554,-0.080797,0.79089,0.10188
"Q80TM2",0.85795,-0.22104,0.79168,0.10145
"Q9Z1N5",1.0212,0.030245,0.79226,0.10113
"E9PV24",1.0979,0.1347,0.79247,0.10102
"Q9CQ60",0.95618,-0.064646,0.79765,0.09819
"P62242",1.0423,0.059716,0.79998,0.096921
"Q99PU5",0.93322,-0.099717,0.80004,0.096888
"Q6ZWM4",1.1668,0.22254,0.80141,0.096143
"P20029",1.0462,0.065149,0.80169,0.095992
"Q3TXS9",0.97731,-0.033118,0.80827,0.092445
"B2RSV4",0.9514,-0.071874,0.80941,0.091833
"P62830",0.92798,-0.10784,0.81452,0.089101
"Q5BLK1",0.97349,-0.038765,0.81645,0.088073
"Q4VA29",0.94324,-0.084306,0.81977,0.086306
"Q3U955",0.9998,-0.00028312,0.82669,0.082655
